,team,runs,BB,1B,2B,3B,HR,ParkID
4241,"""LAN""",7,3,5,1,0,2,"""LOS03"""
4242,"""PHI""",5,0,8,2,1,0,"""MIA02"""
4243,"""MIA""",9,4,8,3,0,3,"""MIA02"""
4244,"""COL""",2,1,4,0,0,2,"""MIL06"""
4245,"""MIL""",5,1,5,2,0,3,"""MIL06"""
4246,"""CIN""",0,2,5,1,0,0,"""NYC20"""
4247,"""NYN""",4,3,4,2,0,1,"""NYC20"""
4248,"""WAS""",5,6,4,2,0,1,"""PIT08"""
4249,"""PIT""",3,4,4,0,0,1,"""PIT08"""
4250,"""WAS""",8,3,9,3,0,1,"""PIT08"""
4251,"""PIT""",6,6,7,4,0,0,"""PIT08"""
4252,"""SFN""",6,3,6,0,0,2,"""SAN02"""
4253,"""SDN""",3,2,9,2,0,0,"""SAN02"""
4254,"""SEA""",0,5,4,1,0,0,"""STL10"""
4255,"""SLN""",2,1,0,1,0,1,"""STL10"""
4256,"""TBA""",7,5,7,2,1,2,"""BAL12"""
4257,"""BAL""",1,3,5,0,0,1,"""BAL12"""
4258,"""CHA""",5,3,8,0,0,2,"""BOS07"""
4259,"""BOS""",7,4,5,3,0,2,"""BOS07"""
4260,"""ARI""",5,1,8,0,0,2,"""HOU03"""
4261,"""HOU""",11,3,9,2,0,2,"""HOU03"""
4262,"""MIN""",2,0,2,2,1,0,"""KAN06"""
4263,"""KCA""",4,0,6,0,0,0,"""KAN06"""
4264,"""DET""",2,4,3,2,0,0,"""OAK01"""
4265,"""OAK""",1,1,5,1,0,0,"""OAK01"""
4266,"""ANA""",4,5,2,0,0,1,"""ARL03"""
4267,"""TEX""",6,4,4,3,0,0,"""ARL03"""
4268,"""TOR""",3,3,5,2,0,1,"""ATL03"""
4269,"""ATL""",4,3,7,0,0,1,"""ATL03"""
4270,"""NYA""",1,2,4,2,0,0,"""CHI11"""
4271,"""CHN""",2,2,2,1,0,0,"""CHI11"""
4272,"""CLE""",0,1,6,0,0,0,"""LOS03"""
4273,"""LAN""",4,3,5,1,1,2,"""LOS03"""
4274,"""PHI""",1,2,4,1,0,0,"""MIA02"""
4275,"""MIA""",10,4,7,2,0,2,"""MIA02"""
4276,"""COL""",4,2,7,3,0,2,"""MIL06"""
