,team,runs,BB,1B,2B,3B,HR,ParkID
0,"""LAN""",5,9,7,0,0,0,"""SEO01"""
1,"""SDN""",2,4,4,0,0,0,"""SEO01"""
2,"""SDN""",15,6,13,3,1,1,"""SEO01"""
3,"""LAN""",11,6,12,3,0,1,"""SEO01"""
4,"""COL""",1,3,2,2,0,0,"""PHO01"""
5,"""ARI""",16,3,14,3,0,1,"""PHO01"""
6,"""WAS""",2,0,5,0,0,1,"""CIN09"""
7,"""CIN""",8,2,5,3,0,2,"""CIN09"""
8,"""SLN""",1,1,2,0,0,1,"""LOS03"""
9,"""LAN""",7,4,6,2,0,2,"""LOS03"""
10,"""PIT""",6,8,4,2,0,3,"""MIA02"""
11,"""MIA""",5,4,6,2,0,0,"""MIA02"""
12,"""SFN""",4,1,6,2,0,1,"""SAN02"""
13,"""SDN""",6,3,8,1,0,0,"""SAN02"""
14,"""ANA""",3,3,0,1,0,1,"""BAL12"""
15,"""BAL""",11,6,6,2,0,2,"""BAL12"""
16,"""DET""",1,1,6,0,0,0,"""CHI12"""
17,"""CHA""",0,0,3,0,0,0,"""CHI12"""
18,"""NYA""",5,9,6,1,0,1,"""HOU03"""
19,"""HOU""",4,2,11,1,0,1,"""HOU03"""
20,"""MIN""",4,5,8,1,0,1,"""KAN06"""
21,"""KCA""",1,1,2,2,0,1,"""KAN06"""
22,"""CLE""",8,3,6,4,1,0,"""OAK01"""
23,"""OAK""",0,1,3,1,0,0,"""OAK01"""
24,"""BOS""",6,2,6,2,1,2,"""SEA03"""
25,"""SEA""",4,1,4,2,0,2,"""SEA03"""
26,"""TOR""",8,7,3,1,0,3,"""STP01"""
27,"""TBA""",2,2,4,3,0,1,"""STP01"""
28,"""CHN""",3,5,2,3,1,0,"""ARL03"""
29,"""TEX""",4,6,4,2,0,2,"""ARL03"""
30,"""COL""",3,0,4,1,1,1,"""PHO01"""
31,"""ARI""",7,4,9,2,0,3,"""PHO01"""
32,"""SLN""",3,2,5,1,0,0,"""LOS03"""
33,"""LAN""",6,2,2,1,0,4,"""LOS03"""
34,"""PIT""",7,7,7,3,0,0,"""MIA02"""
35,"""MIA""",2,4,8,1,0,0,"""MIA02"""
36,"""MIL""",3,3,6,1,0,1,"""NYC20"""
37,"""NYN""",1,2,0,0,0,1,"""NYC20"""
38,"""ATL""",9,5,7,6,0,0,"""PHI13"""
39,"""PHI""",3,3,4,0,0,1,"""PHI13"""
40,"""SFN""",8,2,9,2,0,2,"""SAN02"""
41,"""SDN""",3,0,4,2,0,3,"""SAN02"""
42,"""NYA""",7,5,8,3,0,1,"""HOU03"""
43,"""HOU""",1,6,6,1,0,0,"""HOU03"""
44,"""CLE""",6,6,4,4,0,1,"""OAK01"""
45,"""OAK""",4,2,4,2,0,2,"""OAK01"""
46,"""BOS""",0,3,4,0,0,0,"""SEA03"""
47,"""SEA""",1,2,3,0,0,1,"""SEA03"""
48,"""TOR""",2,1,4,1,0,1,"""STP01"""
49,"""TBA""",8,3,8,1,0,1,"""STP01"""
50,"""COL""",9,6,6,1,1,2,"""PHO01"""
51,"""ARI""",4,9,5,1,0,2,"""PHO01"""
52,"""WAS""",7,6,7,2,1,1,"""CIN09"""
53,"""CIN""",6,3,6,2,0,2,"""CIN09"""
54,"""SLN""",6,2,5,2,0,0,"""LOS03"""
55,"""LAN""",5,4,12,1,0,1,"""LOS03"""
56,"""PIT""",9,4,11,5,0,0,"""MIA02"""
57,"""MIA""",3,2,4,1,0,0,"""MIA02"""
58,"""MIL""",7,1,13,1,0,1,"""NYC20"""
59,"""NYN""",6,2,9,0,0,3,"""NYC20"""
60,"""ATL""",12,3,10,4,0,4,"""PHI13"""
61,"""PHI""",4,5,6,1,0,1,"""PHI13"""
62,"""SFN""",9,3,5,2,0,2,"""SAN02"""
63,"""SDN""",6,5,4,1,0,2,"""SAN02"""
64,"""ANA""",4,1,7,0,1,1,"""BAL12"""
65,"""BAL""",13,2,6,5,1,2,"""BAL12"""
66,"""DET""",7,4,7,2,1,2,"""CHI12"""
67,"""CHA""",6,4,6,0,1,3,"""CHI12"""
68,"""NYA""",5,5,5,0,0,3,"""HOU03"""
69,"""HOU""",3,2,2,2,0,0,"""HOU03"""
70,"""MIN""",5,3,4,3,0,0,"""KAN06"""
71,"""KCA""",1,3,3,2,0,0,"""KAN06"""
72,"""CLE""",12,5,9,4,1,1,"""OAK01"""
73,"""OAK""",3,6,5,1,0,0,"""OAK01"""
74,"""BOS""",3,3,5,2,0,0,"""SEA03"""
75,"""SEA""",4,2,7,0,0,0,"""SEA03"""
76,"""TOR""",1,3,6,0,0,0,"""STP01"""
77,"""TBA""",5,4,9,1,0,1,"""STP01"""
78,"""CHN""",2,2,4,0,0,1,"""ARL03"""
79,"""TEX""",11,4,10,3,0,3,"""ARL03"""
80,"""COL""",1,0,8,0,0,0,"""PHO01"""
81,"""ARI""",5,2,3,1,0,1,"""PHO01"""
82,"""WAS""",5,4,5,2,0,2,"""CIN09"""
83,"""CIN""",6,3,8,3,1,2,"""CIN09"""
84,"""SLN""",4,3,7,1,0,0,"""LOS03"""
85,"""LAN""",5,4,4,2,0,2,"""LOS03"""
86,"""PIT""",9,7,9,0,1,1,"""MIA02"""
87,"""MIA""",7,4,3,1,0,3,"""MIA02"""
88,"""MIL""",4,6,5,4,0,0,"""NYC20"""
89,"""NYN""",1,2,5,2,0,0,"""NYC20"""
90,"""ATL""",4,1,4,2,0,1,"""PHI13"""
91,"""PHI""",5,3,8,0,0,1,"""PHI13"""
92,"""SFN""",4,8,3,1,0,1,"""SAN02"""
93,"""SDN""",13,4,8,6,0,2,"""SAN02"""
94,"""ANA""",4,1,5,0,0,1,"""BAL12"""
95,"""BAL""",1,5,3,0,0,0,"""BAL12"""
96,"""DET""",3,4,6,0,0,2,"""CHI12"""
97,"""CHA""",2,1,2,1,0,2,"""CHI12"""
98,"""NYA""",4,2,8,2,0,0,"""HOU03"""
99,"""HOU""",3,2,9,2,0,1,"""HOU03"""
100,"""MIN""",0,2,1,3,0,0,"""KAN06"""
101,"""KCA""",11,3,6,2,1,5,"""KAN06"""
102,"""CLE""",3,2,6,0,1,0,"""OAK01"""
103,"""OAK""",4,4,6,1,2,0,"""OAK01"""
104,"""BOS""",5,3,8,0,0,2,"""SEA03"""
105,"""SEA""",1,1,3,1,0,0,"""SEA03"""
106,"""TOR""",9,8,7,1,0,2,"""STP01"""
107,"""TBA""",2,2,1,0,0,2,"""STP01"""
108,"""CHN""",9,9,9,2,0,1,"""ARL03"""
109,"""TEX""",5,4,5,1,2,0,"""ARL03"""
110,"""NYA""",5,5,5,3,0,0,"""PHO01"""
111,"""ARI""",2,4,2,1,1,0,"""PHO01"""
112,"""COL""",0,1,3,0,0,0,"""CHI11"""
113,"""CHN""",5,3,9,0,0,0,"""CHI11"""
114,"""SFN""",3,6,7,0,0,1,"""LOS03"""
115,"""LAN""",8,2,4,3,1,1,"""LOS03"""
116,"""ANA""",7,6,2,1,1,3,"""MIA02"""
117,"""MIA""",4,4,7,2,0,0,"""MIA02"""
118,"""DET""",5,3,3,0,0,1,"""NYC20"""
119,"""NYN""",0,3,4,1,0,0,"""NYC20"""
120,"""CIN""",6,5,5,1,1,1,"""PHI13"""
121,"""PHI""",3,4,6,1,0,0,"""PHI13"""
122,"""SLN""",6,3,10,2,0,2,"""SAN02"""
123,"""SDN""",2,2,2,1,0,2,"""SAN02"""
124,"""PIT""",8,6,9,6,0,0,"""WAS11"""
125,"""WAS""",4,4,7,0,0,1,"""WAS11"""
126,"""KCA""",4,2,3,2,0,2,"""BAL12"""
127,"""BAL""",6,1,6,1,0,2,"""BAL12"""
128,"""ATL""",9,5,5,5,0,1,"""CHI12"""
129,"""CHA""",0,3,2,1,0,0,"""CHI12"""
130,"""TOR""",0,2,0,0,0,0,"""HOU03"""
131,"""HOU""",10,3,5,2,0,5,"""HOU03"""
132,"""BOS""",9,7,7,2,0,0,"""OAK01"""
133,"""OAK""",0,0,3,1,0,0,"""OAK01"""
134,"""CLE""",4,1,4,0,0,2,"""SEA03"""
135,"""SEA""",5,6,6,0,0,1,"""SEA03"""
136,"""TEX""",9,7,5,1,0,2,"""STP01"""
137,"""TBA""",3,5,1,2,0,2,"""STP01"""
138,"""NYA""",0,3,3,0,0,0,"""PHO01"""
139,"""ARI""",7,4,9,1,0,1,"""PHO01"""
140,"""COL""",2,2,5,1,0,1,"""CHI11"""
141,"""CHN""",12,7,7,2,1,4,"""CHI11"""
142,"""SFN""",4,3,6,2,0,1,"""LOS03"""
143,"""LAN""",5,5,5,3,0,1,"""LOS03"""
144,"""ANA""",3,3,4,2,0,1,"""MIA02"""
145,"""MIA""",1,3,3,1,0,1,"""MIA02"""
146,"""MIN""",2,4,3,0,0,0,"""MIL06"""
147,"""MIL""",3,5,5,1,0,1,"""MIL06"""
148,"""CIN""",4,0,4,4,0,0,"""PHI13"""
149,"""PHI""",9,3,5,0,0,4,"""PHI13"""
150,"""SLN""",5,4,3,2,0,1,"""SAN02"""
151,"""SDN""",2,2,6,3,0,0,"""SAN02"""
152,"""KCA""",4,3,6,1,1,0,"""BAL12"""
153,"""BAL""",1,1,1,2,0,0,"""BAL12"""
154,"""ATL""",2,5,3,0,0,2,"""CHI12"""
155,"""CHA""",3,3,5,1,0,1,"""CHI12"""
156,"""TOR""",2,1,5,2,0,1,"""HOU03"""
157,"""HOU""",1,4,5,2,0,1,"""HOU03"""
158,"""BOS""",5,4,9,3,0,0,"""OAK01"""
159,"""OAK""",4,4,2,3,0,2,"""OAK01"""
160,"""CLE""",5,1,9,2,0,1,"""SEA03"""
161,"""SEA""",2,2,5,4,0,0,"""SEA03"""
162,"""TEX""",2,2,5,2,0,0,"""STP01"""
163,"""TBA""",5,1,6,0,0,1,"""STP01"""
164,"""NYA""",6,1,5,1,0,2,"""PHO01"""
165,"""ARI""",5,3,4,3,0,2,"""PHO01"""
166,"""COL""",8,4,6,5,0,0,"""CHI11"""
167,"""CHN""",9,7,9,0,0,1,"""CHI11"""
168,"""SFN""",4,2,2,1,0,2,"""LOS03"""
169,"""LAN""",5,3,6,1,0,2,"""LOS03"""
170,"""ANA""",10,8,6,5,0,1,"""MIA02"""
171,"""MIA""",2,2,3,1,0,0,"""MIA02"""
172,"""MIN""",7,7,7,2,1,1,"""MIL06"""
173,"""MIL""",3,3,5,0,0,2,"""MIL06"""
174,"""CIN""",4,1,2,4,1,0,"""PHI13"""
175,"""PHI""",1,4,5,0,0,1,"""PHI13"""
176,"""SLN""",2,4,5,1,0,0,"""SAN02"""
177,"""SDN""",3,5,4,2,0,1,"""SAN02"""
178,"""PIT""",3,4,2,1,0,1,"""WAS11"""
179,"""WAS""",5,2,4,5,0,1,"""WAS11"""
180,"""KCA""",3,1,7,2,0,1,"""BAL12"""
181,"""BAL""",4,4,4,2,0,0,"""BAL12"""
182,"""TOR""",0,7,0,1,0,0,"""HOU03"""
183,"""HOU""",8,4,9,2,0,4,"""HOU03"""
184,"""BOS""",1,1,9,1,0,0,"""OAK01"""
185,"""OAK""",0,3,7,1,0,0,"""OAK01"""
186,"""CLE""",8,1,8,3,0,0,"""SEA03"""
187,"""SEA""",0,4,3,2,0,0,"""SEA03"""
188,"""TEX""",4,2,8,1,0,1,"""STP01"""
189,"""TBA""",1,1,7,1,0,0,"""STP01"""
190,"""DET""",6,5,7,1,0,1,"""NYC20"""
191,"""NYN""",3,8,5,1,0,0,"""NYC20"""
192,"""DET""",1,4,5,0,0,0,"""NYC20"""
193,"""NYN""",2,5,2,0,0,1,"""NYC20"""
194,"""MIA""",5,2,6,0,0,3,"""STL10"""
195,"""SLN""",8,3,6,2,1,1,"""STL10"""
196,"""PIT""",7,7,8,2,0,1,"""WAS11"""
197,"""WAS""",4,4,6,1,0,1,"""WAS11"""
198,"""CHA""",1,4,6,2,0,0,"""KAN06"""
199,"""KCA""",10,4,6,2,0,2,"""KAN06"""
200,"""CLE""",4,3,6,1,0,0,"""MIN04"""
201,"""MIN""",2,1,4,1,1,1,"""MIN04"""
202,"""ARI""",5,6,6,2,0,1,"""ATL03"""
203,"""ATL""",6,3,6,5,0,1,"""ATL03"""
204,"""LAN""",7,4,8,3,0,1,"""CHI11"""
205,"""CHN""",9,6,5,1,1,2,"""CHI11"""
206,"""NYN""",3,5,3,0,0,1,"""CIN09"""
207,"""CIN""",2,6,4,2,0,1,"""CIN09"""
208,"""TBA""",7,5,11,2,0,0,"""DEN02"""
209,"""COL""",10,4,6,3,0,3,"""DEN02"""
210,"""SEA""",5,2,6,2,0,0,"""MIL06"""
211,"""MIL""",6,6,4,1,0,3,"""MIL06"""
212,"""BAL""",5,0,6,2,1,3,"""PIT08"""
213,"""PIT""",2,2,4,0,0,2,"""PIT08"""
214,"""SDN""",2,1,4,2,0,0,"""SFO03"""
215,"""SFN""",3,2,2,3,0,0,"""SFO03"""
216,"""PHI""",4,9,6,3,0,0,"""WAS11"""
217,"""WAS""",0,5,1,1,0,0,"""WAS11"""
218,"""BOS""",8,5,4,0,0,5,"""ANA01"""
219,"""ANA""",6,3,5,0,0,1,"""ANA01"""
220,"""OAK""",4,5,1,2,0,2,"""DET05"""
221,"""DET""",5,4,2,4,0,2,"""DET05"""
222,"""CHA""",1,4,2,1,0,1,"""KAN06"""
223,"""KCA""",2,4,6,1,0,0,"""KAN06"""
224,"""TOR""",3,4,4,2,0,1,"""NYC21"""
225,"""NYA""",0,3,6,0,0,0,"""NYC21"""
226,"""HOU""",2,1,2,0,0,1,"""ARL03"""
227,"""TEX""",10,6,9,4,1,2,"""ARL03"""
228,"""ARI""",8,2,9,2,0,1,"""ATL03"""
229,"""ATL""",9,2,9,4,1,1,"""ATL03"""
230,"""LAN""",4,4,8,1,0,0,"""CHI11"""
231,"""CHN""",1,3,4,3,0,0,"""CHI11"""
232,"""NYN""",6,2,9,2,0,0,"""CIN09"""
233,"""CIN""",9,5,5,1,1,1,"""CIN09"""
234,"""TBA""",8,5,6,2,0,1,"""DEN02"""
235,"""COL""",6,3,6,2,0,3,"""DEN02"""
236,"""SEA""",5,3,8,0,0,2,"""MIL06"""
237,"""MIL""",3,4,3,1,0,1,"""MIL06"""
238,"""BAL""",4,3,2,2,0,0,"""PIT08"""
239,"""PIT""",5,4,8,2,0,1,"""PIT08"""
240,"""SDN""",4,3,4,0,0,1,"""SFO03"""
241,"""SFN""",0,3,4,0,0,0,"""SFO03"""
242,"""MIA""",1,1,7,1,0,0,"""STL10"""
243,"""SLN""",3,4,5,3,0,0,"""STL10"""
244,"""PHI""",5,3,6,1,1,1,"""WAS11"""
245,"""WAS""",2,2,3,0,0,1,"""WAS11"""
246,"""BOS""",1,1,2,1,0,0,"""ANA01"""
247,"""ANA""",2,6,6,0,0,0,"""ANA01"""
248,"""OAK""",4,6,4,0,0,1,"""DET05"""
249,"""DET""",0,1,3,2,0,0,"""DET05"""
250,"""CHA""",0,2,1,2,0,0,"""KAN06"""
251,"""KCA""",3,3,8,1,0,1,"""KAN06"""
252,"""CLE""",3,0,5,1,0,1,"""MIN04"""
253,"""MIN""",1,7,1,0,1,0,"""MIN04"""
254,"""TOR""",8,6,5,6,0,1,"""NYC21"""
255,"""NYA""",9,7,6,1,0,3,"""NYC21"""
256,"""HOU""",2,4,6,2,0,0,"""ARL03"""
257,"""TEX""",7,4,11,4,0,0,"""ARL03"""
258,"""ARI""",2,1,5,0,0,0,"""ATL03"""
259,"""ATL""",5,0,3,1,0,3,"""ATL03"""
260,"""LAN""",1,2,2,1,1,0,"""CHI11"""
261,"""CHN""",8,3,5,3,0,1,"""CHI11"""
262,"""NYN""",3,2,6,2,0,1,"""CIN09"""
263,"""CIN""",1,5,3,0,0,0,"""CIN09"""
264,"""TBA""",3,3,4,4,0,0,"""DEN02"""
265,"""COL""",2,4,5,1,1,0,"""DEN02"""
266,"""SEA""",4,1,6,1,0,1,"""MIL06"""
267,"""MIL""",12,4,9,1,1,3,"""MIL06"""
268,"""BAL""",2,0,3,3,0,0,"""PIT08"""
269,"""PIT""",3,1,6,1,0,0,"""PIT08"""
270,"""SDN""",2,0,10,1,0,0,"""SFO03"""
271,"""SFN""",3,2,5,1,0,0,"""SFO03"""
272,"""MIA""",10,2,9,1,1,2,"""STL10"""
273,"""SLN""",3,2,1,1,1,2,"""STL10"""
274,"""PHI""",2,3,4,0,0,1,"""WAS11"""
275,"""WAS""",3,4,7,1,0,0,"""WAS11"""
276,"""BOS""",12,6,7,0,1,4,"""ANA01"""
277,"""ANA""",2,3,6,1,0,1,"""ANA01"""
278,"""OAK""",7,2,11,1,1,1,"""DET05"""
279,"""DET""",1,3,5,1,0,1,"""DET05"""
280,"""CHA""",3,3,9,3,0,0,"""KAN06"""
281,"""KCA""",5,3,2,1,0,2,"""KAN06"""
282,"""TOR""",3,6,3,2,0,0,"""NYC21"""
283,"""NYA""",8,7,7,0,0,1,"""NYC21"""
284,"""HOU""",3,4,3,0,0,1,"""ARL03"""
285,"""TEX""",1,5,2,0,0,0,"""ARL03"""
286,"""NYN""",8,7,8,0,0,3,"""ATL03"""
287,"""ATL""",7,7,8,3,0,1,"""ATL03"""
288,"""MIL""",8,2,8,2,0,2,"""CIN09"""
289,"""CIN""",10,3,4,3,0,3,"""CIN09"""
290,"""ARI""",5,7,7,0,0,0,"""DEN02"""
291,"""COL""",7,3,10,1,1,1,"""DEN02"""
292,"""DET""",4,4,7,2,0,0,"""PIT08"""
293,"""PIT""",7,4,9,2,0,1,"""PIT08"""
294,"""CHN""",8,6,4,3,1,0,"""SAN02"""
295,"""SDN""",9,6,5,0,1,3,"""SAN02"""
296,"""WAS""",8,7,7,2,0,1,"""SFO03"""
297,"""SFN""",1,3,3,3,0,0,"""SFO03"""
298,"""PHI""",5,3,7,2,0,1,"""STL10"""
299,"""SLN""",3,3,3,2,0,1,"""STL10"""
300,"""TBA""",1,1,7,1,0,0,"""ANA01"""
301,"""ANA""",7,3,10,2,1,1,"""ANA01"""
302,"""CHA""",0,6,3,1,0,0,"""CLE08"""
303,"""CLE""",4,1,8,1,0,1,"""CLE08"""
304,"""LAN""",4,3,6,2,0,2,"""MIN04"""
305,"""MIN""",2,1,2,0,0,1,"""MIN04"""
306,"""MIA""",0,0,2,0,0,0,"""NYC21"""
307,"""NYA""",7,5,4,3,0,2,"""NYC21"""
308,"""HOU""",10,3,7,2,0,2,"""ARL03"""
309,"""TEX""",5,4,8,0,0,0,"""ARL03"""
310,"""SEA""",2,2,4,1,0,2,"""TOR02"""
311,"""TOR""",5,1,6,5,0,0,"""TOR02"""
312,"""NYN""",5,3,9,2,0,1,"""ATL03"""
313,"""ATL""",6,2,10,1,0,0,"""ATL03"""
314,"""MIL""",9,4,8,5,0,0,"""CIN09"""
315,"""CIN""",5,2,6,4,0,0,"""CIN09"""
316,"""ARI""",3,4,5,2,0,2,"""DEN02"""
317,"""COL""",2,3,7,1,0,0,"""DEN02"""
318,"""DET""",5,1,8,1,0,0,"""PIT08"""
319,"""PIT""",3,2,5,1,0,2,"""PIT08"""
320,"""CHN""",5,3,7,0,0,2,"""SAN02"""
321,"""SDN""",1,2,1,2,0,1,"""SAN02"""
322,"""WAS""",5,0,5,2,0,1,"""SFO03"""
323,"""SFN""",3,5,10,0,0,0,"""SFO03"""
324,"""PHI""",0,3,8,0,0,0,"""STL10"""
325,"""SLN""",3,2,5,1,0,1,"""STL10"""
326,"""TBA""",6,4,7,3,0,1,"""ANA01"""
327,"""ANA""",4,4,5,1,0,1,"""ANA01"""
328,"""BAL""",7,3,10,3,0,0,"""BOS07"""
329,"""BOS""",1,2,1,0,0,1,"""BOS07"""
330,"""CHA""",7,2,7,5,0,0,"""CLE08"""
331,"""CLE""",5,5,7,0,0,1,"""CLE08"""
332,"""HOU""",3,1,11,2,0,0,"""KAN06"""
333,"""KCA""",4,5,5,1,1,0,"""KAN06"""
334,"""LAN""",6,6,6,1,0,2,"""MIN04"""
335,"""MIN""",3,0,1,2,0,3,"""MIN04"""
336,"""MIA""",2,3,4,1,0,0,"""NYC21"""
337,"""NYA""",3,7,4,2,0,1,"""NYC21"""
338,"""OAK""",4,3,2,0,0,3,"""ARL03"""
339,"""TEX""",3,3,4,1,0,2,"""ARL03"""
340,"""SEA""",3,6,4,0,0,2,"""TOR02"""
341,"""TOR""",5,2,8,2,0,1,"""TOR02"""
342,"""MIL""",7,3,4,0,0,2,"""CIN09"""
343,"""CIN""",2,2,2,1,0,1,"""CIN09"""
344,"""ARI""",5,5,6,3,0,1,"""DEN02"""
345,"""COL""",3,6,3,2,0,1,"""DEN02"""
346,"""CHN""",2,3,1,1,0,1,"""SAN02"""
347,"""SDN""",10,4,8,1,1,2,"""SAN02"""
348,"""WAS""",1,2,3,0,0,1,"""SFO03"""
349,"""SFN""",7,0,10,1,1,0,"""SFO03"""
350,"""PHI""",4,5,8,0,0,0,"""STL10"""
351,"""SLN""",3,4,5,0,0,2,"""STL10"""
352,"""TBA""",4,0,5,1,0,1,"""ANA01"""
353,"""ANA""",2,3,6,2,0,1,"""ANA01"""
354,"""BAL""",7,5,6,1,1,1,"""BOS07"""
355,"""BOS""",5,4,7,0,0,1,"""BOS07"""
356,"""CHA""",6,3,3,6,0,1,"""CLE08"""
357,"""CLE""",7,5,4,1,0,3,"""CLE08"""
358,"""HOU""",2,3,5,4,0,0,"""KAN06"""
359,"""KCA""",11,6,7,3,0,1,"""KAN06"""
360,"""LAN""",2,3,6,2,0,1,"""MIN04"""
361,"""MIN""",3,5,4,0,0,2,"""MIN04"""
362,"""MIA""",5,6,5,0,0,1,"""NYC21"""
363,"""NYA""",2,7,4,1,0,1,"""NYC21"""
364,"""OAK""",2,1,7,1,0,1,"""ARL03"""
365,"""TEX""",6,4,8,4,0,0,"""ARL03"""
366,"""SEA""",6,5,4,1,0,1,"""TOR02"""
367,"""TOR""",1,3,5,0,0,1,"""TOR02"""
368,"""NYN""",16,4,10,3,1,2,"""ATL03"""
369,"""ATL""",4,3,7,2,1,0,"""ATL03"""
370,"""PIT""",1,2,7,0,0,0,"""PHI13"""
371,"""PHI""",5,0,4,0,0,3,"""PHI13"""
372,"""BAL""",9,6,3,2,0,4,"""BOS07"""
373,"""BOS""",4,2,3,4,0,1,"""BOS07"""
374,"""HOU""",3,5,7,3,0,1,"""KAN06"""
375,"""KCA""",13,2,12,2,0,2,"""KAN06"""
376,"""OAK""",1,2,2,1,0,1,"""ARL03"""
377,"""TEX""",0,3,1,0,0,0,"""ARL03"""
378,"""SLN""",9,3,8,2,2,2,"""PHO01"""
379,"""ARI""",6,1,7,1,0,1,"""PHO01"""
380,"""SDN""",8,3,6,0,0,4,"""LOS03"""
381,"""LAN""",7,4,1,2,0,4,"""LOS03"""
382,"""ATL""",8,4,8,5,0,1,"""MIA02"""
383,"""MIA""",1,1,6,0,0,0,"""MIA02"""
384,"""KCA""",1,4,2,0,0,1,"""NYC20"""
385,"""NYN""",6,2,11,2,0,1,"""NYC20"""
386,"""PIT""",5,5,8,1,0,0,"""PHI13"""
387,"""PHI""",2,3,5,2,0,0,"""PHI13"""
388,"""MIL""",11,4,9,2,1,3,"""BAL12"""
389,"""BAL""",1,1,4,1,0,1,"""BAL12"""
390,"""ANA""",7,0,9,2,0,1,"""BOS07"""
391,"""BOS""",0,2,2,1,0,0,"""BOS07"""
392,"""CIN""",11,9,7,2,1,2,"""CHI12"""
393,"""CHA""",1,0,2,2,0,0,"""CHI12"""
394,"""MIN""",2,4,4,2,0,0,"""DET05"""
395,"""DET""",8,6,7,2,0,1,"""DET05"""
396,"""TEX""",12,5,9,2,0,1,"""HOU03"""
397,"""HOU""",8,4,7,2,0,2,"""HOU03"""
398,"""WAS""",1,3,5,2,0,1,"""OAK01"""
399,"""OAK""",2,3,2,0,0,1,"""OAK01"""
400,"""CHN""",2,3,2,1,0,1,"""SEA03"""
401,"""SEA""",4,5,6,0,0,0,"""SEA03"""
402,"""SFN""",1,6,5,1,0,0,"""STP01"""
403,"""TBA""",2,3,5,1,0,0,"""STP01"""
404,"""COL""",12,2,9,8,1,2,"""TOR02"""
405,"""TOR""",4,3,7,2,0,2,"""TOR02"""
406,"""SLN""",2,1,9,1,1,0,"""PHO01"""
407,"""ARI""",4,4,3,2,0,1,"""PHO01"""
408,"""SDN""",2,1,5,2,0,0,"""LOS03"""
409,"""LAN""",5,4,8,0,0,0,"""LOS03"""
410,"""ATL""",1,0,3,2,1,0,"""MIA02"""
411,"""MIA""",5,3,6,1,0,1,"""MIA02"""
412,"""KCA""",11,5,10,1,1,1,"""NYC20"""
413,"""NYN""",7,3,5,1,0,3,"""NYC20"""
414,"""PIT""",3,5,3,1,0,1,"""PHI13"""
415,"""PHI""",4,7,7,1,0,1,"""PHI13"""
416,"""MIL""",11,2,10,3,0,2,"""BAL12"""
417,"""BAL""",5,2,9,0,0,3,"""BAL12"""
418,"""ANA""",2,2,7,0,0,1,"""BOS07"""
419,"""BOS""",7,3,8,2,0,1,"""BOS07"""
420,"""CIN""",5,4,2,2,0,0,"""CHI12"""
421,"""CHA""",0,3,2,0,0,0,"""CHI12"""
422,"""NYA""",3,6,5,4,0,1,"""CLE08"""
423,"""CLE""",2,7,3,2,0,0,"""CLE08"""
424,"""NYA""",8,8,6,2,0,1,"""CLE08"""
425,"""CLE""",2,1,4,1,0,2,"""CLE08"""
426,"""MIN""",11,3,3,3,0,2,"""DET05"""
427,"""DET""",5,3,6,1,0,1,"""DET05"""
428,"""MIN""",4,3,5,0,0,2,"""DET05"""
429,"""DET""",1,1,3,1,0,0,"""DET05"""
430,"""TEX""",2,4,7,1,0,0,"""HOU03"""
431,"""HOU""",9,7,9,5,0,0,"""HOU03"""
432,"""WAS""",3,2,5,4,1,0,"""OAK01"""
433,"""OAK""",1,2,7,1,0,0,"""OAK01"""
434,"""CHN""",4,0,3,0,0,3,"""SEA03"""
435,"""SEA""",1,3,5,1,0,0,"""SEA03"""
436,"""SFN""",11,6,4,4,0,5,"""STP01"""
437,"""TBA""",2,2,7,1,0,0,"""STP01"""
438,"""COL""",3,4,4,2,0,1,"""TOR02"""
439,"""TOR""",5,3,7,1,0,1,"""TOR02"""
440,"""SLN""",0,3,2,2,0,0,"""PHO01"""
441,"""ARI""",5,3,5,2,0,0,"""PHO01"""
442,"""SDN""",6,14,5,2,0,1,"""LOS03"""
443,"""LAN""",3,3,4,1,0,1,"""LOS03"""
444,"""ATL""",9,3,8,2,0,2,"""MIA02"""
445,"""MIA""",7,2,4,3,0,2,"""MIA02"""
446,"""KCA""",1,1,0,2,0,1,"""NYC20"""
447,"""NYN""",2,6,8,0,0,0,"""NYC20"""
448,"""PIT""",9,6,6,1,0,3,"""PHI13"""
449,"""PHI""",2,0,6,0,1,1,"""PHI13"""
450,"""MIL""",4,2,9,1,0,2,"""BAL12"""
451,"""BAL""",6,2,7,1,0,3,"""BAL12"""
452,"""ANA""",4,3,7,0,1,1,"""BOS07"""
453,"""BOS""",5,8,3,1,0,3,"""BOS07"""
454,"""CIN""",11,8,8,0,0,2,"""CHI12"""
455,"""CHA""",4,5,7,1,0,0,"""CHI12"""
456,"""NYA""",7,4,9,1,0,2,"""CLE08"""
457,"""CLE""",8,2,4,2,0,3,"""CLE08"""
458,"""MIN""",3,4,5,0,0,1,"""DET05"""
459,"""DET""",4,1,4,3,0,1,"""DET05"""
460,"""TEX""",5,2,5,3,0,2,"""HOU03"""
461,"""HOU""",8,5,4,4,0,2,"""HOU03"""
462,"""WAS""",6,5,7,4,0,1,"""OAK01"""
463,"""OAK""",7,5,9,2,0,0,"""OAK01"""
464,"""CHN""",3,0,5,2,0,1,"""SEA03"""
465,"""SEA""",2,5,4,0,0,1,"""SEA03"""
466,"""SFN""",4,1,6,2,1,1,"""STP01"""
467,"""TBA""",9,2,5,1,0,4,"""STP01"""
